Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
1998,Rei Leão 2: O reino de Simba,The Lion King II: Simba's pride,Darrell Rooney; Rob DaLuca,Homem,EUA,-,2.5
2004,Rei Leão 3: Hakuna Matata,The Lion King 1½,Bradley Raymond,Homem,EUA,-,2.5
2006,Happy Feet: O Penguim,Happy Feet,George Miller; Warren Coleman,Homem,EUA,-,2.5
2011,Happy Feet: O Penguim 2,Happy Feet 2,George Miller,Homem,EUA,-,2.5
1940,Pinóquio,Pinocchio,Bem Shapsteen; Hamilton Lee,Homem,EUA,-,5
1982,E.T - O Extraterrestre,E.T. - The Extra-Terrestrial,Steven Spielberg,Homem,EUA,-,5
2010,Amor à distância,Going the distance,Nanette Burstein,Mulher,EUA,-,3.5
1997,Flubber - Um invenção desmiolada,Flubber,Les Mayfield,Homem,EUA,-,2.5
1997,George - O rei da floresta,George of the jungle,Sam Weisman,Homem,EUA,-,2
2001,Legalmente loira,Legally Blonde,Robert Luketic,Homem,EUA,-,3
2004,No pique de Nova York,New York minute,Dennie Gordon,Homem,EUA,-,2.5
2003,Aos treze,Thirteen,Catherine Hardwicke,Mulher,EUA,-,3
1998,Pokémon 1: O filme,ポケットモンスター ミュウツーの逆襲,Kunihiko Yuyama; Michael Haigney,Homem,Japão,-,3.5
2002,"Spirit, o corcel indomável",Spirit: Stallion of the cimarron,Kelly Asbury; Lorna Cook,Ambos,EUA,-,5
1993,Dennis - O pimentinha,Dennis - the menace,Nick Castle,Homem,EUA,-,2.5
2006,Por água abaixo,Flushed Away,David Bowers; Sam Fell,Homem,EUA,-,2.5
2007,As férias de Mr. Bean,Mr. Bean Holiday,Steve Bendelack,Homem,EUA,-,3
2010,A ressaca,Hot tub time machine,Steve Pink,Homem,EUA,-,2
2004,Bob esponja: O filme,The spongebob squarepants movie,Stephen Hillenburg,Homem,EUA,-,2.5
2004,Eurotrip: passaporte para a confusão,Eurotrip,Alec Berg; David Mandel; Jeff Schaffer,Homem,EUA,-,2
2001,Uma lição de amor,I'm Sam,Jessie Nelson,Mulher,EUA,-,5
2005,Guia dos mochileiros da galáxia,The hitchhicker's guide to the galaxy,Garth Jennings,Homem,EUA,-,3
2007,Treinando o papai,The game plan,Andy Fickman,Homem,EUA,-,0.5
1998,FormiguinhaZ,Antz,Eric Darnell; Tom Johson,Homem,EUA,-,3.5
2004,Com a bola toda,Dodgeball: A true underdog story,Rawson Marshall Thurber,Homem,EUA,-,2.5
1996,Um herói de brinquedo,Jingle all the way,Brian Levant,Homem,EUA,-,2.5
1988,Uma cilada para Roger Rabbit,Who framed Roger Rabbit,Robert Zemeckis,Homem,EUA,-,2.5
2008,Nick & Norah: Uma noite de amor e música,Nick and Norah's infinite playlist,Peter Sollet,Homem,EUA,-,2.5
2010,Uma missão quase impossível,The spy next door ,Brian Levant,Homem,EUA,-,2
2006,Três ladrões e um bebê,Bo Bui Gai Wak,Benny Chan,Homem,China,-,"2,5"
2001,Ta todo mundo louco! Uma corrida de dez milhões,Rat race,Jerry Zucker,Homem,EUA,-,2
2006,"Dois é bom, três é demais","You, me and Dupree",Anthony Russo; Joe Russo,Homem,EUA,-,"2,5"
2004,Volta ao mundo em 80 dias: Uma aposta muito louca,Around the world in 80 days,Frank Coraci,Homem,EUA,-,3
2007,Ta dando onda,Surf's up ,Ash Brannon; Chris Buck,Homem,EUA,-,4
2008,"Meu nome é Taylor, Drillbit Taylor",Drillbit Taylor,Steve Brill,Homem,EUA,-,3
2006,Garfield 2,Garfield: A tail of two kitties,Tim Hill,Homem,EUA,-,2
2009,O fantástico Sr. Raposo,Fantastic Mr. Fox,Wes Anderson,Homem,EUA,-,2
1995,Babe - O porquinho atrapalhado ,Babe,Chris Noonan,Homem,EUA,-,"2,5"
1998,Homem,Babe -  Pig in the city,George Miller,Homem,EUA,-,2
2007,Norbit,Norbit,Brian Robbins,Homem,EUA,-,"2,5"
2004,Scooby-Doo 2: Monstros à solta,Scooby-Doo 2: Monsters unleashed,Raja Gosnell,Homem,EUA,-,1
2007,Diário de uma babá,The nanny diaries ,Robert Pulcini; Shari Springer Berman,Ambos,EUA,-,"2,5"
2000,102 Dálmatas,102 Dalmatians,Kevin Lima,Homem,EUA,-,1
2009,Planeta 51 ,Planet 51,Jorge Blanco,Homem,EUA,-,"2,5"
2009,Tá chovendo hambúrguer,Cloudy with a chance of meatballs,Christopher Miller; Phil Lord,Homem,EUA,-,3
2004,A nova cinderela,A Cinderella Story,Mark Rosman,Homem,EUA,-,2
1997,Titanic,Titanic,James Camerom,Homem,EUA,-,"2,5"
2006,George - O curioso,Curious George,Matthew O'Callagham,Homem,EUA,-,3
2012,Lorax - Em busca da trúfula perdida,The Lorax,Chris Renaud; Kyle Balda,Homem,EUA,-,3
1970,Aristogatas,The Aristocats,Wolfgang Reitherman,Homem,EUA,-,3
1997,Mister Bean - O Filme,Bean,Mel Smith,Homem,Inglaterra,-,3
1994,Júnior,Junior,Ivan Reitman,Homem,EUA,-,"3,5"
2006,As férias da minha vida,Last Holiday,Wayne Wang,Homem,EUA,-,"3,5"
2002,Jack-Ass: Cara-de-pau - O filme,Jackass: the movie,Jeff Tremaine,Homem,EUA,-,2
2006,Jack-ass 2: O filme,Jackass number two,Jeff Tremaine,Homem,EUA,-,"2,5"
2010,Jack-ass 3,Jackass 3,Jeff Tremaine,Homem,EUA,-,3
2004,Jogos Mortais,Saw,James Wan,Homem,EUA,-,3
2005,Jogos Morais 2,Saw II,Darren Lynn Bousaman,Homem,EUA,-,3
2011,Como cães e gatos,Cats & Dogs,Lawrence Guteman,Homem,EUA,-,3
1998,Pequenos Guerreiros,Small Soldiers,Joe Dante,Homem,EUA,-,3
2010,O primeiro amor,Flipped,Rob Reiner,Homem,EUA,-,4
2004,Nem que a vaca tussa,Home on the range,John Sanford; Will Finn,Homem,EUA,-,4
2005,Terapia do amor ,Prime,Ben Younger,Homem,EUA,-,"3,5"
2010,O fada do dente,The tooth fairy,Micheal Lembeck,Homem,EUA,-,"2,5"
2009,Minhas adoráveis ex-namoradas,Ghosts of girlfriends past,Mark Waters,Homem,EUA,-,3
2003,Tudo o que uma garota quer,What a girl wants,Dennie Gordon,Homem,EUA,-,3
1967,Mogli - O menino lobo,The jungle book,Wolfgang Reitherman,Homem,EUA,-,2
2008,Três vezes amor,"Definitely, maybe",Adam Brooks,Homem,EUA,-,3
2007,A loja mágica de brinquedos,Mr. Magorium's woder emporium,Zach Helm,Homem,EUA,-,"2,5"
2011,Desenrola,Desenrola,Rosane Svartman,Mulher,Brasil,-,3
2009,Meu trabalho é um parto,Labor Pains,Lara Shapiro,Mulher,EUA,-,"2,5"
2010,A lenda dos guardiões,Legend of the guardians: the owls of Ga'House,Zack Snyder,Homem,EUA,-,4
2011,Gnomeu e Julieta,Gnomeu & Juliet,Kelly Asbury,Homem,EUA,-,3
2008,O grande Dave,Meet Dave,Brian Robbins,Homem,EUA,-,2
2008,Surpresas do amor,Four Christimas,Seth Gordon,Homem,EUA,-,3
2007,A grade família - O filme,A grande família - O filme,Maurício Farias,Homem,Brasil,-,2
2013,O último grande amor de Mr. Gordon,Mr. Morgan's last love,Sandra Nettebeck,Mulher,EUA,-,5
2009,Eu odeio o dia dos namorados,Eu odeio o dia dos namorados,Nia Vardalos,Mulher,Brasil,-,"2,5"
2006,A menina e o porquinho,Charlotte's Web,Gary Winick,Homem,EUA,-,3
2009,Falando grego,My life in ruins,Donald Petrie,Homem,EUA,-,3
2006,As apimentadas: tudo ou nada,Bring it on: All or nothing,Steve Rash,Homem,EUA,-,"2,5"
2007,Licença para casar,License to wed,Ken Kwapis,Homem,EUA,-,"2,5"
2008,"Loucas por amor, viciadas em dinheiro",Mad money,Callie Khouri,Mulher,EUA,-,3
1999,"South Park: Maior, melhor e sem cortes","South Park: Bigger, longer and uncut",Trey Parker,Homem,EUA,-,3
2011,A fera,Beastly,Daniel Barnz,Homem,EUA,-,2
2010,Você denovo,You again,Andy Fickman,Homem,EUA,-,"2,5"
2009,Novidades no amor,The rebound,Bart Freundlich,Homem,EUA,-,"3,5"
1999,Mulan ,Mulan,Barry Cook; Tony Bancroft,Homem,EUA,-,5
2004,Mulan 2: A lenda continua,Mulan II,Darrell Rooney; Lynne Southrland,Homem,EUA,-,3
2008,Super-Herói - O filme,Sperhero movie,Craig Mazin,Homem,EUA,-,3
2009,Encontro de casais,Couples retreat,Peter Billingsley,Homem,EUA,-,3
2007,Antes só do que mal casado,The heartbreak kid,Peter Farrelly; Bob Farrelly,Homem,EUA,-,3
2002,Pequenos grandes astros,Like Mike,John Schultz,Homem,EUA,-,"2,5"
2008,O corajoso ratinho Despereaux,The tale of Desperaux,Robert Stevenhagen; Sam Fell,Homem,EUA,-,3
2006,Selvagem,The wild,Steve 'Spaz' Williams,Homem,EUA,-,"2,5"
2010,Jogada certa,Just Wright,Sanaa Harri,Mulher,EUA,-,3
1989,Todos os cães merecem o céu,All dogs go to heaven,Dan Kuenter; Don Bluth; Gary Goldman,Homem,EUA,-,4
2005,O filho do máskara,Son of the Mask,Lawrence Guteman,Homem,EUA,-,"2,5"
2004,Um natal muito louco,Christmas with the Kranks,Joe Ruth,Homem,EUA,-,"2,5"
2006,Idiocracia,Idiocracy,Mike Judge,Homem,EUA,-,1
1950,Cinderela,Cinderella,Clyde Geronimi; Hamilton Luske; Wilfred Jackson,Homem,EUA,-,5
1995,O pateta: O filme,A goofy movie,Kevin Lima,Homem,EUA,-,"2,5"
2011,"Me excita, droga!","Få meg på, for faen",Jannicke Systad Jacobsen,Mulher,Noruega,-,3
2011,Hop - Rebelde sem páscoa,Hop,Tim Hill,Homem,EUA,-,2
2011,Deu a louca na chapeuzinho 2,Hoodwinked 2 too! Hood vs. Evil,Mike Disa,Homem ,EUA,-,2
2006,O segredo dos animais,Barnyard,Steve Oedekerk,Homem,EUA,-,2
2004,Meu tio matou um cara,Meu tio matou um cara,Jorge Furtado,Homem,Brasil,-,4
2009,Verônica,Verônica,Maurício Farias,Homem,Brasil,-,3
2005,2 filhos de Francisco,2 filhos de Francisco,Breno Silveira,Homem,Brasil,-,"2,5"
2007,Tropa de Elite,Tropa de Elite,José Padilha,Homem ,Brasil,-,3
2007,Minha mãe quer que eu case,Because I said so,Michael Lehman,Homem,EUA,-,"2,5"
2009,"Gatos, gatinhas e gatões","Angus, thongs and perfect snogging",Gurinder Cadha,Mulher,EUA,-,"2,5"
2001,Atraídas pelo perido,Sugar & Spice,Francine McDougall,Mulher,EUA,-,3
2013,João e Maria: Caçadores de Bruxa,Hansel and Gretel: Witch Hunts,Tommy Wirkola,Homem,EUA,-,"2,5"
2009,Distrito 9,District 9,Neil Blomkamp,Homem,EUA,-,"2,5"
2005,Quarteto fantástico,Fantastic Four,Tim Story,Homem,EUA,-,3
2007,Quarteto Fantástico e o Surfista prateado,Fantastic Four: Rise of the silver surfer,Tim Story,Homem,EUA,-,3
2004,Hellboy,Hellboy,Guilherme del Toro,Homem,EUA,-,"2,5"
2011,Transformers: O lado oculto da lua,Transformers: dark of the moon,Michael Bay,Homem,EUA,-,3
2009,Transformers: A vigança dos derrotados,Transformers: Revenge of the fallen,Michael Bay,Homem,EUA,-,3
2007,Transformers,Transformers,Michael Bay,Homem,EUA,-,"3,5"
2011,X-Men: Primeira Classe,X-Men: First class,Matthew Vaughn,Homem,EUA,-,3
2003,X-Men 2 ,X2,Bryan Singer,Homem,EUA,-,3
2000,X-Me:  filme,X-Men,Bryan Singer,Homem,EUA,-,"3,5"
2005,Harry Potter e o cálice de fogo,Harry Potter and the globet of fire,Mike Newel,Homem,Inglaterra,-,"3,5"
2004,Harry Potter e o prisoneiro de Azkaban,Harry Potter and the prisoner of azkaban,Affonso Cuarón,Homem,Inglaterra,-,"3,5"
1999,Aconteceu no natal do Mickey,Mickey's once upon a christmas,Alex Mann; Bill Speers; Bradley Raymond; Jun Falkenstein; Toby Shelton,Homem,EUA,-,3
2001,Pequenos Espiões,Spy Kids,Robert Rodriguez,Homem,EUA,-,
2009,Astroboy,Astro boy ,David Bowers,Homem,EUA,-,3
2009,Coraline e o mundo secreto,Coraline,Henry Selick,Homem,EUA,-,4
2009,Legalmente Loiras ,LEgally blondes,Savage Steve Holland,Homem,EUA,-,1
1995,Turma da pesada,Heavy Weights,Steve Brill,Homem,EUA,-,"2,5"
2007,Garçonete,Waitress,Adrienne Shelly,Mulher,EUA,-,"3,5"
1999,Meu marciano favorito,My favorite Martian,Donald Petrie,Homem,EUA,-,3
2010,Zé coméia: O filme,Yogi Bear,Eric Bervig,Homem,EUA,-,"2,5"
2011,Um evento feliz,Un heureux Événement ,Rémi Bezançon,Homem,França,-,"3,5"
2004,"Mickey, Donald e Pateta - Os três mosqueteiros","Mickey,  Donald, Goofy - The three musketeers",Donovan Cook,Homem,EUA,-,"2,5"
2005,Querem acabar comigo,Are we there yet?,Brian Levant,Homem,EUA,-,"2,5"
2009,As apimentadas: ainda mais apimentadas,Bring it on: Fight to the finish,Bille Woodruff,Homem,EUA,-,"2,5"
2010,Os vampiros que se mordam,Vapires suck,Aaron Seltzer; Jason Friedberg,Homem,EUA,-,"3,5"
2005,Wallace & Gromit: A batalha dos vegetais,The curse of were-rabbit,Nick PArk; Steve Box,Homem,Inglaterra,-,"3,5"
1995,Jumanji,Jumanji,Joe Johnston,Homem,EUA,-,3
2001,O céu pode esperar,Dow the earth,Chris Weitz; Paul Weitz,Homem,EUA,-,2
2007,Acho que amo minha mulher,I think I love my wife,Chris Rock,Homem,EUA,-,3
2002,Cruzeiro das Loucas,Boat trip,Mort Nathan,Homem,EUA,-,"3,5"
2004,Táxi,Taxi,Tim Story,Homem,EUA,-,"2,5"
2013,Inatividade Paranormal,A haunted house ,Michael Tiddes,Homem,EUA,-,3
1992,Mudança de hábito,Sister Act,Emile Ardolino,Homem,EUA,-,"2,5"
2013,Apagando Histórico,Clear History,Greg Mottola,Homem,EUA,-,3
2009,O menino da porteira,O menino da porteiro,Jeremias Moreira Filho,Homem,Brasil,-,"3,5"
2012,Um alguém apaixonado,Like someone in love,Abbas Kirostami,Homem,Japão,-,5
2008,Quem quer ser um milhonário?,Slumdog Millionare,Danny Boyle; Loveleen Tandan,Ambos,EUA,-,2
2009,Bastardos Inglórios,Inglorious bastards,Quentin Tarantino,Homem,EUA,-,4
2011,A filha do meu melhor amigo,The oranges,Julian Farino,Homem,EUA,-,"2,5"
2002,Harry Potter e a câmera secreta,Harry Potter and the chamber of secrets,Chris Columbus,Homem,Inglaterra,-,3
2001,Jimmy Bolha,Bubble Boy,Blair Hayes,Homem,EUA,-,"2,5"
2013,Percy Jackson e o mar de monstros,Percy Jackson: Sea of Monsters,Thor Freudenthal,Homem,EUA,-,"2,5"
2012,Motoqueiro Fantasma: Espírito de Vingança,Ghost Rider: Spirit of vengeance,Brian Taylor; Mark Neveldine,Homem,EUA,-,3
2007,Motoqueiro fantasma ,Ghost Rider,Mark Steve Johnson,Homem,EUA,-,4
2003,Demolidor - O homem sem medo,Daredevil,Mark Steve Johnson,Homem,EUA,-,3
2008,Wall-E,Wall-E,Andrew Stanton,Homem,EUA,-,2.5
2013,"Jack, o caçador de gigantes",Jack the giant slayer,Bryan Singer,Homem,EUA,-,2
2004,As apimentadas: Mandando  ver,Bring it on again,Damon Santostefano,Homem,EUA,-,"2,5"
2009,Miss Março: A garota da capa,Miss March,Trevor Moore; Zach Cregger,Homem,EUA,-,"1,5"
2007,As apimentadas: Entrar para ganhar,Bring it on: In it to win it,Steve Rash,Homem,EUA,-,"2,5"
1995,Amigos para sempre,Far from home: adventures of yellow dog,Phillip Borsos,Homem,EUA,-,3
1980,Os deuses devem estar loucos,The gods must be crazy,Jamie Uys,Homem,EUA,-,"2,5"
2000,Tigrão - O filme,The tigger movie,Jun Falkenstein; Nick Bates,Homem,EUA,-,5
2007,Aprendendo a amar,Keinohrhasen,Til Scheweiger,Homem,Alemanha,-,
2009,Caindo na estrada 2: O jogo da cerveja,Road trip: The beer pong,Steve Rash,Homem,EUA,-,"4,5"
2010,Tropa de elite 2: O inimigo agora é outro,Tropa de elite 2: O inimigo agora é outro,José Padilha,Homem,Brasil,-,"2,5"
2012,Minha vida dava um filme ,Girl most likely,Robert Pulcini; Shari Springer Berman,Ambos,EUA,-,3
2008,O guru do amor,The love guru,Marco Schnabel,Homem,EUA,-,"2,5"
2011,Uma noiva para harry,When Harry tries to marry,Nayan Padrai,Homem,EUA,-,"2,5"
2011,Cavalo de guerra,War horse,Steven Spielberg,Homem,EUA,-,5
2008,Regras do amor,Jack and Jill vs. the world,Vanessa Parise,Mulher,EUA,-,"3,5"
2010,Uma secretária de morte,Miss Nobody,Abram Cox,Homem,EUA,-,2
2003,Stitch! O filme,Stitch! The movie,Roberts Gannway; Tony Graig,Homem,EUA,-,"2,5"
2005,"As crônicas de nárnia: o leão, o feiticeiro e o guarda-roupa","The chronicles of narnia: the lion, the witch and the wardrobe",Andrew Adamson,Homem,EUA,-,3
2009,Avatar,Avatar,James Camerom,Homem,EUA,-,4
1993,Jurassic Park: O parque dos dinossauros,Jurassic Park,Steven Spielberg,Homem,EUA,-,3
2008,Harold,Harold,T. Sean Shannon,Homem,EUA,-,3
2009,Virgem em apuros,American virgin,Clare Kilner,Mulher,EUA,-,3
2007,Clube das lobas ,Cougar club,Christopher Duddy,Homem,EUA,-,"2,5"
2011,Sexo sem compromisso,No strings attached,Ivan Reitman,Homem,EUA,-,"2,5"
2007,Acampamento do papai,Daddy day camp ,Fred Savage,Homem,EUA,-,3
2003,Eloise no plaza,Eloise at the plaza,Kevin Lima,Homem,EUA,-,3
1994,O retorno de Jafar,The return of Jafar,Alan Zaslove; Tad Stones; Toby Shelton,Homem,EUA,-,"2,5"
2002,Tarzan e Jane,Tarzan & Jane,Don MacKinnon; Steve Loter; Victor Cook,Homem,EUA,-,3
2000,A pequena sereia II - O retorno para o mar,The little mermaid II: return to the sea,Jim Kammerud; Brian Smith,Homem,EUA,-,"2,5"
2002,Peter Pan: De volta à terra do nunca,Return to neverland,Donovan Cook; Robin Budd,Homem,EUA,-,5
2012,Paranorman,Paranoman,Chris Butler; Sam Fell,Homem,EUA,-,3
1959,A bela adormecida,Sleeping Beauty,Clyde Geronimi,Homem,EUA,-,"3,5"
1942,Bambi,Bambi,Bill Roberts; David Hand; Graham Heid; James Algar; Norman Wright; Paul Satterfield; Samuel Armstrong,Homem,EUA,-,"3,5"
2009,A princesa e o sapo,The princess and the frog,John Musker; Ron Clements,Homem,EUA,-,4
1951,Alice no país das maravilhas,Alice in wonderland,Clyde Geronimi; Hamilton Luske; Wilfred Jackson,Homem,EUA,-,5
2000,Caminho para El dorado,The road to El dorado,Bibo Bergeron; David Silverman; Don Michael Paul; Jeffrey Katzenberg; Will Finn,Homem,EUA,-,"3,5"
1941,Dumbo,Dumbo,Ben Sharpsten; Bill Roberts; Jack Kinney; John Elliote; Norman Ferguson; Samuel Armstrong; Wilfred Jackson,Homem,EUA,-,"3,5"
2011,Operação presente,Arthur Christmas,Barry Cook; Sarah Smith,Ambos,EUA,-,"3,5"
2011,O ursinho pooh,Winnie the pooh,Don Hall; Stephen J. Anderson,Homem,EUA,-,4
2001,A dama e o vagabundo II - As aventuras de banzé,Lady and the tramp II - Scamp's adventures,Darrell Rooney,Homem,EUA,-,"2,5"
2003,Irmão Urso,Brother Bear,Aaron Blaise; Robert Walker,Homem,EUA,-,4
1995,Pocahontas - O encontro de dois mundos,Pocahontas,Eric Goldberg; Mike  Gabriel,Homem,EUA,-,"3,5"
1996,O corcunda de notre dame,The hunchback of notre dame,Gary Trousdale; Kirk Wise,Homem,EUA,-,4
1997,Hércules,Hercules,John Musker; Ron Clements,Homem,EUA,-,4
1937,A branca de neves e o sete anões,Snow White and the seven dwarfs,Ben Sharpsteen; David Hand; Larry Morey; Perce Pearce; Wilfred Jackson; William Cottrell,Homem,EUA,-,4
1997,Anastasia,Anastasi,Don Bluth; Gary Goldman,Homem,EUA,-,5
1989,A pequena sereia,The little mermaid,John Musker; Ron Clements,Homem,EUA,-,"3,5"
1999,Tarzan,Tarzan,Chris Buck; Kevin Lima,Homem,EUA,-,"3,5"
1992,Aladdin,Aladdin,John Musker; Ron Clements,Homem,EUA,-,3
1991,A bela e a fera,Beauty and the beast,Gary Trousdale; Kirk Wise,Homem,EUA,-,"3,5"
1993,O estranho mundo de jack,the nightmare before christmas,Henry Selick,Homem,EUA,-,"3,5"
2004,Os incríveis,The incredibles,Brad Bird,Homem,EUA,-,"2,5"
2007,O vidente,Next,Lee Tamahori,Homem,EUA,-,"0,5"
2009,Presságio,Knowing,Alex Proyas,Homem,EUA,-,3
1996,"Marte, Ataca!",Mars Attacks!,Tim Burton,Homem,EUA,-,2
2008,A outra,The other boleyn girl,Justin Chadwick,Homem,EUA,-,"2,5"
2009,Um olhar no paraíso,The lovely bones,Peter Jackson,Homem,EUA,-,3
1994,Quando um homem ama uma mulher,When a man loves a woman,Luis Mandoki,Homem,EUA,-,5
2003,"Leitão, o filme",Piglet's big movie,Francis Glebas,Homem,EUA,-,5
2009,Deu a louca na branca de neve,Happily N'ever after 2,Broyd Kirkland,Homem,EUA,-,"2,5"
2011,"Felicidade é um cobertor quente, charlie brown","Happiness is a warm blanket, charlie brown",Andrew Beall; Frank Molieri,Homem,EUA,-,"3,5"
2010,Tinker Bell e o regaste da fada,Tinker Bell and the great fairy rescue,Bradley Raymond,Homem,EUA,-,"2,5"
2009,Tinker Bell e o tesouro perdido,Tinker Bell and the lost treasure,Klay Hall,Homem,EUA,-,2
2007,Cinderela 3,Cinderella III: A twist in time,Frank Nissen,Homem,EUA,-,3
1994,A princesa encantada,The Swan Princess,Richard Rich,Homem,EUA,-,3
2007,Deu a louca na cinderela,HAppily N'ever after ,Paul Bolger,Homem,EUA,-,3
1999,Castelo Rá-Tim-Bum,Castelo Rá-Tim-Bum,Cao Hamburger,Homem,Brasil,-,"2,5"
2006,Leroy & Stitch,Leroy & Stitch,Roberts Gannway; Tony Graig,Homem,EUA,-,"2,5"
2008,Tinker Bell: Uma aventura no mundo das fadas,Tinker Bell,Bradley Raymond,Homem,EUA,-,5
2005,Tarzan 2: A lenda continua,Tarzan II,Brian Smith,Homem,EUA,-,3
2006,A pantera cor de rosa,The pink panther,Shawn Levy,Homem,EUA,-,"0,5"
2004,Confissões de uma adolescente em crise,Confessions of a teenage drama queen,Sara Sugarman,Mulher,EUA,-,1
2009,"Se beber, não case!",The hangover,Todd Phillips,Homem,EUA,-,3
2006,O pequeno herói,Everyone's hero,Christopher Reeve; Colin Brady; Daniel St. Pierre,Homem,EUA,-,3
1993,Uma babá quase perfeita,Mrs. Doubtfire,Chris Columbus,Homem,EUA,-,2
1997,O patinho feio,The ugly duckling,David Elvin,Homem,EUA,-,3
2008,Crepúsculo,Twitlight,Chaterine Hardwicke,Mulher,EUA,-,2
2009,A saga Crepúsculo: Lua nova,The Twilight Saga: New Moon,Chris Weitz,Homem,EUA,-,"1,5"
2010,A saga Crepúsculo: Eclipse,The Twilight Saga: Eclipse,David Slade,Homem,EUA,-,"1,5"
2001,A saga Crepúsculo: Amanhecer Part. 1,The Twilight Saga: Breaking Dawn Part. 1,Bill Condon,Homem,EUA,-,"0,5"
2010,The Runaways - Garotas do rock,The runaways,Floria Sigismondi,Mulher,EUA,-,1
2005,Valiant 0 Um herói que vale a pena,Valiant,Gary Chapman,Homem,EUA,-,3
2013,Minha desconhecida fama,He's way more famous than you,Michael Urie,Homem,EUA,-,"2,5"
2006,Piratas do Caribe: O baú da morte,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,Homem,EUA,-,5
2003,Piratas do Caribe: A maldição do Pérola negra,Pirates of the Caribbean: The Curse of Black PEarl,Gore Verbinski,Homem,EUA,-,5
2004,Van Helsing: O caçador de monstros,Van Helsing,Stephen Sommers,Homem,EUA,-,2
2006,X-Men: O confronto final,X-Men: The last stand,Brett Ratner,Homem,EUA,-,"2,5"
2008,Jumper,Jumper ,Doug Liman,Homem,EUA,-,2
1980,O diário de Anne Frank,The diary of Anne Frank,Boris Sagal,Homem,EUA,-,5
2009,Caso 39,Case 39,Christian Alvart,Homem,EUA,-,2
2013,Duro de Matar: Um bom dia para morrer,A good day to die hard,John Moore,Homem,EUA,-,1
2000,Duas vidas,The kid ,Jon Turteltaub,Homem,EUA,-,"2,5"
2006,As torres gêmeas,World trade center,Oliver Stone,Homem,EUA,-,4
2007,Dez mandamentos muito loucos!,The ten,David Wain,Homem,EUA,-,3
2012,O ditador,The dictator,Larry Charles,Homem,EUA,-,3
2008,Eragon,Eragon,Stefen Fangmeier,Homem,EUA,-,"2,5"
2010,Caçador de recompensas,The bounty hunter,Andy Tennant,Homem,EUA,-,"2,5"
2012,A saga Crepúsculo: Amanhecer Part. 2,The Twilight Saga: Breaking Dawn Part. 2,Bill Condon,Homem,EUA,-,1
1964,Mary Poppins,Mary Poppins,Robert Stevenson,Homem,EUA,-,5
2003,Peter Pan,Peter Pan,P. J. Hogan,Homem,EUA,-,3
2001,Tainá - Uma aventura na Amazônia,Tainá - Uma aventura na Amazônia,Ségio Bloch; Tania Lamarca,Ambos,Brasil,-,"2,5"
2008,Para Sempre vencedor,Forever Strong,Ryan Little,Homem,EUA,-,5
2002,Guru do sexo,The guru,Daisy von Scheler Meyer,Mulher,Índia,-,"2,5"
2002,Um amor para recordar,A walk to remember,Adam Shankman,Homem,EUA,-,2
2008,Ressaca do amor,Forgetting Sarah Marshall,Nicholas Stoller,Homem,EUA,-,3
2008,"Criança, a alma do negócio","Criança, a alma do negócio",Estela Renner,Mulher,Brasil,-,3
2003,Simplesmente acontece,Love actually,Richard Curtis,Homem,EUA,-,3
1995,Mortal Kombat,Mortal Kombat,Paul W. S. Anderson,Homem,EUA,-,"2,5"
2006,A garota dos meus sonhos,Gary Matters,Sue Kramer,Mulher,EUA,-,3
1997,Eu sei o que vocês fizeram no verão passado,I know what you did  last summer,Jim Gilespie,Homem,EUA,-,2
2004,MAdrugada muito louca ,Harold & Kumar go to white castle,Danny Leiner,Homem,EUA,-,3
2003,Lara Croft: Tomb Raider - A origem da vida,Lara Croft Tomb Raider: the cradle of life,Jan de Bont,Homem,EUA,-,2
2002,O mistério da libélula,Dragonfly,Tom Shadyac,Homem,EUA,-,3
2005,Guerra dos mundos,War of the worlds,Steven Spielberg,Homem,EUA,-,"2,5"
2002,Sinais,Signs,M. Night Shyamalan,Homem,EUA,-,2
2010,Namorados para sempre,Blue valentine,Derek Cianfrance,Homem,EUA,-,"2,5"
2009,Obsessiva,Obsessed,Steve Shill,Homem,EUA,-,3
2005,A lenda do zorro,The legend of Zorro,Martin Campbell,Homem,EUA,-,"2,5"
2001,Jurassic Park 3,Jurassic Park III,Joe Johnston,Homem,EUA,-,3
2005,Fique rico ou morra tentando,Get rich or die tryin',Jim Sheridan,Homem,EUA,-,3
2004,O aviador,The aviator,Martin Scorsese,Homem,EUA,-,3
2011,11-11-11,11-11-11,Darren Lynn Bousman,Homem,EUA,-,3
2001,Branca de neve,Snow White,Caroline Thompson,Mulher,EUA,-,"2,5"
2002,Quem não cola não sai da escola,Cheats,Andrew Gurland,Homem,EUA,-,3
2000,Dinossauro,Dinosaur,Eric Leighton; Ralph Zondag,Homem,EUA,-,3
1997,Volcano - A fúria,Volcano,Mick Jackson,Homem,EUA,-,"0,5"
1998,Godzilla ,Godzilla,Roalnd Emmerich,Homem,EUA,-,
2010,Scott Pilgrim contra o mundo,Scott Pilgrim vs. The world,Edgar Wright,Homem,EUA,-,"1,5"
2013,Meu namorado é um zumbi,Warm Bodies,Jonathan Levine,Homem,EUA,-,1
2002,As meninas super poderosas: O filme,The Powerpuff girls,Craig McCraken,Homem,EUA,-,"2,5"
