Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2010,Kick-Ass: Quebrando tudo,Kick-Ass,Matthew Vaughn,Homem,EUA,-,4.5
2013,Kick-Ass 2,Kick-Ass 2,Jeff Wadlow,Homem,EUA,-,4.5
1995,Toy Story,Toy Story,John Lasseter,Homem,EUA,-,5
1999,Toy Story 2,Toy Story 2,John Lasseter,Homem,EUA,-,5
2010,Toy Story 3,Toy Story 3,Lee Unkrich,Homem,EUA,-,5
1998,Vida de Inseto,Bug's life,Andrew Stanton; John Lasseter,Homem,EUA,-,4
2009,(500) dias com ela,(500) days of Summer,Marc Webb,Homem,EUA,-,3.5
2000,A fuga das galinhas,Chicken Run,Nick Park; Peter Lord,Homem,EUA,-,5
2006,Maria Antonieta,Marie Antoniette,Sofia Coppola,Mulher,EUA,-,4.5
2010,Não me abandone jamais,Never let me go,Mark Romanek,Homem,EUA,-,5
2009,Zumbilândia,Zombieland,Ruben Fleischer,Homem,EUA,-,4.5
2011,Os peguins do papai,Mr. Popper's Penguins,Mark Waters,Homem,EUA,-,2.5
2001,O diário da princesa,The princess diaries,Garry Marshall,Homem,EUA,-,4
2004,O diário da princesa 2: casamento real,The princess diaries 2: Roayal Engagement,Garry Marshall,Homem,EUA,-,2.5
2010,Percy Jackson e o Ladrão de Raios,Percy Jackson & the Olympians: The lightning Thief,Chris Columbus,Homem,EUA,-,2
2001,Harry Potter e a Pedra Filosofal,Harry Potter and the socerer's stone,Chris Columbus,Homem,Inglaterra,-,3
2012,Ted,Ted,Seth Macfarlane,Homem,EUA,-,1.5
2005,Deu a louca na chapeuzinho,Hoodwinked!,Cory Edwards,Homem,EUA,-,3
2006,O diabo veste prada,The devil wears prada,David  Frankel,Homem,EUA,-,3
2011,Esposa de mentirinha,Just go with it,Dennis Dugan,Homem,EUA,-,2.5
1996,James e o pêssego gigante,James and the giant peach,Henry Selick,Homem,EUA,-,4.5
2012,Valente,Brave,Brenda Chapman; Mark Andrews; Steve Purcell,Ambos,EUA,-,3.5
2010,Cartas para Julieta,Letters to Juliet,Gary Winick,Homem,EUA,-,3
2008,Jogo de amor em Las Vegas,What happens in Vegas,Tom Vaughan,Homem,EUA,-,3
2010,Enrolados,Tangled,Byron Howard; Nathan Greno,Homem,EUA,-,4
1999,O Paizão,Big Daddy,Dennis Dugan,Homem,EUA,-,3
2003,Todo poderoso,Bruce Almighty,Tom Shadyac,Homem,EUA,-,5
2000,O Grinch,How the Grinch stole the christmas,Ron Howard ,Homem,EUA,-,4.5
2011,Um dia,One day,Lone Scherfig,Mulher,EUA,-,4
2009,9 - A salvação,9,Shane Acker,Homem,EUA,-,5
