TÍTULO,TÍTULO ORIGINAL,AUTOR,TRADUTOR(A),GÊNERO,PAÍS,LIDO EM,NOTA,FORMATO,PÁGINAS,EDITORA,TAG
Desventuras em série: A sala dos répteis,A series of Unfortunate events: The Reptile Room,Lemony Snicket,,Homem,EUA,2016,"4,5",Livro,184,Cia das Letras,físico
Desventuras em série: O lago das senguessugas,A series of Unfortunate events: The wide window,Lemony Snicket,,Homem,EUA,2016,"4,5",Livro,192,Cia das Letras,físico
Ajin #1,Ajin #1,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,232,Panini,online
Ajin #2,Ajin #2,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,200,Panini,online
Ajin #3,Ajin #3,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,202,Panini,online
Ajin #4,Ajin #4,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,194,Panini,online
Ajin #5,Ajin #5,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,200,Panini,online
Ajin #6,Ajin #6,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,202,Panini,online
Ajin #7,Ajin #7,Sakurai Gamon,,Homem,Japão,2016,"4,5",Mangá,202,Panini,online
Passarinho,Bird,Crystal Chan,,Mulher,EUA,2016,4,Livro,224,Intrínseca,físico
Pequena Abelha,Little Bee,Chris Cleave,,Homem,Inglaterra,2016,5,Livro,272,Intrínseca,físico
Noah foge de casa,Noah Barleywater Runs Away: A fairytale,John Boyne,,Homem,Irlanda,2016,"3,5",Livro,200,Seguinte,físico
"Por favor, cuide da mamãe",Eomma-reul butakhae,Shin Kyung-sook,,Mulher,Coréia do Sul,2016,5,Livro,240,Intrínseca,físico
Watchmen,Watchmen,Alan Moore; Dave Gibbons,,Homem,Inglaterra,2016,5,HQ,436,Panini,físico
Assassin's Creed: A crusada secreta,Assassin's Creed: The secret crusade,Oliver Bowden,,Homem,Inglaterra,2017,5,Livro,336,Record,físico
Vagabond #4,Vagabond #4,Takehiko Inoue,,Homem,Japão,2017,5,Mangá,208,Panini,físico
Vagabond #5,Vagabond #5,Takehiko Inoue,,Homem,Japão,2017,5,Mangá,224,Panini,físico
Vagabond #6,Vagabond #6,Takehiko Inoue,,Homem,Japão,2017,5,Mangá,224,Panini,físico
Vagabond #7,Vagabond #7,Takehiko Inoue,,Homem,Japão,2017,5,Mangá,200,Panini,físico
Vagabond #8,Vagabond #8,Takehiko Inoue,,Homem,Japão,2017,5,Mangá,216,Panini,físico
Another #1,Another #1,Yukito Ayatsuji; Hiro Kiyohara,,Homem,Japão,2017,5,Mangá,194,JBC,online
Another #2,Another #2,Yukito Ayatsuji; Hiro Kiyohara,,Homem,Japão,2017,5,Mangá,194,JBC,online
Another #3,Another #3,Yukito Ayatsuji; Hiro Kiyohara,,Homem,Japão,2017,5,Mangá,194,JBC,online
Another #4,Another #4,Yukito Ayatsuji; Hiro Kiyohara,,Homem,Japão,2017,5,Mangá,194,JBC,online
Umibe no Onnanoko #1,Umibe no Onnanoko #1,Asano Inio,,Homem,Japão,2017,5,Mangá,192,Otha Shuppan,online
Umibe no Onnanoko #2,Umibe no Onnanoko #2,Asano Inio,,Homem,Japão,2017,5,Mangá,216,Otha Shuppan,online
Fazendo meu filme: Fani em busca do final feliz,Fazendo meu filme: Fani em busca do final feliz,Paula Pimenta,-,Mulher,Brasil,2017,3,Livro,608,Gutenberg,físico
Desventuras em série: Serraria Baixo-Astral,A series of Unfortunate Events: The Miserable Mill,Lemony Snicket,,Homem,EUA,2017,"4,5",Livro,176,Cia das Letras,físico
Desventuras em série: Inferno no colégio interno,A series of Unfortunate Events: The austery academy,Lemony Snicket,,Homem,EUA,2017,"4,5",Livro,200,Cia das Letras,físico
"O pato, a morte e a tulipa","Ente, Tod und Tulpe",Wolf Erlbruch,,Homem,Alemanha,2017,5,Livro,32,Cosac Naify,físico
Albertinha e os sapatinhos de lã,Albertina y las zapatillas de lana,Erika Stockholm,,Mulher,Peru,2017,3,Livro,32,Planeta do Brasil,físico
A diaba e sua filha,La Diablesse et son enfant,Marie NDiaye,,Mulher,França,2017,5,Livro,40,Cosac Naify,físico
"Peter Pan, Volume 1",Peter Pan #1,Régis Loisel,,Homem,França,2017,4,HQ,112,Nemo,físico
"Peter Pan, Volume 2",Peter Pan #2,Régis Loisel,,Homem,França,2017,4,HQ,120,Nemo,físico
"Peter Pan, Volume 3",Peter Pan #3,Régis Loisel,,Homem,França,2017,4,HQ,104,Nemo,físico
A guerra não tem rosto de mulher,U voyny ne zhenskoe litso,Svetlana Alexijevich,,Mulher,Ucrânia,2017,5,Livro,392,Cia das Letras,físico
Monstros!,Monstros!,Gustavo Duarte,-,Homem,Brasil,2017,3,HQ,88,Quadrinhos na Cia,físico
Esperando Mamãe,Waiting for Mama,Tae-Jun Lee,,Homem,Coréia do Norte,2017,5,Livro,48,SM,físico
Procura-se um marido,Procura-se um marido,Carina Rissi,-,Mulher,Brasil,2017,3,Livro,476,Verus,físico
Sandman: Prelúdios e Noturnos (#1),Preludes & Nocturnes (Sandman #1),Neil Gaiman,,Homem,Inglaterra,2017,5,HQ,240,Globo,físico
Sandman: A casa de bonecas (#2),The Doll's house (Sandman #2),Neil Gaiman,,Homem,Inglaterra,2017,5,HQ,300,Globo,físico
Declínio de um homem,Ningen Shikkaku,Osamu Dazai,,Homem,Japão,2017,5,Livro,152,Estação Liberdade,físico
A revolução dos Bichos,Animal farms,George Orwell,,Homem,Inglaterra,2017,5,Livro,152,Cia das Letras,físico
Clube da Luta,Fight Club,Chuck Palahniuk,,Homem,EUA,2017,5,Livro,270,Leya,físico
Os 13 porquês,Thirteen reasons why,Jay Asher,,Homem,EUA,2017,3,Livro,256,Ática,online
A senhora da magia,The mists of Avalon,Marion Zimmer Bradley,,Mulher,EUA,2017,4,Livro,252,Imago,físico
Em algum lugar nas Estrelas,Navigating Early,Clare Vanderpool,,Mulher,EUA,2017,3,Livro,288,Darkside,físico
Cachalote,Cachalote,Daniel Galera; Rafael Coutinho,-,Homem,Brasil,2017,3,HQ,280,Quadrinhos na Cia,físico
Três sombras,Trois ombres,Cyril Pedrosa,,Homem,França,2017,3,HQ,268,Quadrinhos na Cia,físico
Cartas ao Pai,Brief an den Vater,Franz Kafka,,Homem,República Tchéquia,2017,5,Livro,80,Cia das Letras,físico
Selma,Selma,Jutta Bauer,,Mulher,Alemanha,2017,4,HQ,56,Cosac Naify,físico
