TÍTULO,TÍTULO ORIGINAL,AUTOR,TRADUTOR(A),GÊNERO,PAÍS,LIDO EM,NOTA,FORMATO,PÁGINAS,EDITORA,TAG
Yu Yu Hakusho #9,Yu Yu Hakusho #9,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #10,Yu Yu Hakusho #10,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #11,Yu Yu Hakusho #11,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #12,Yu Yu Hakusho #12,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #13,Yu Yu Hakusho #13,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #14,Yu Yu Hakusho #14,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #15,Yu Yu Hakusho #15,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #16,Yu Yu Hakusho #16,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #17,Yu Yu Hakusho #17,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,208,JBC,online
Yu Yu Hakusho #18,Yu Yu Hakusho #18,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Yu Yu Hakusho #19,Yu Yu Hakusho #19,Yoshihiro Togashi,,Homem,Japão,2018,3,Mangá,192,JBC,online
Hellboy #1,Hellboy #1,Mike Mignolia,,Homem,EUA,2018,3,HQ,34,Darkorse,online
Hellboy #2,Hellboy #2,Mike Mignolia,,Homem,EUA,2018,3,HQ,52,Darkorse,online
Hellboy #3,Hellboy #3,Mike Mignolia,,Homem,EUA,2018,3,HQ,128,Darkorse,online
Hellboy #4,Hellboy #4,Mike Mignolia,,Homem,EUA,2018,3,HQ,29,Darkorse,online
O iluminado,The shining,Stephen King,,Homem,EUA,2018,4,Livro,463,Suma,físico
Sin City #1,Sin City #1,Frank Miller,,Homem,EUA,2018,4,HQ,36,Pandora,online
Sin City #2,Sin City #2,Frank Miller,,Homem,EUA,2018,4,HQ,208,Devir,online
Sin City #3,Sin City #3,Frank Miller,,Homem,EUA,2018,4,HQ,192,Pandora,online
Ângulo de vista,Ângulo de vista,Rafael Fritzen,-,Homem,Brasil,2018,3,HQ,68,Pulp,físico
Despacho,Despacho,Frenando Barone; Samuel Sajo; Alessio Esteves; et al.,-,Homem,Brasil,2018,"3,5",HQ,100,Draco,físico
Fábulas #1,Fable #1,Bill Willingham,,Homem,EUA,2018,"2,5",HQ,132,Panini,online
Hilda ,Hilda,Luke Pearson,,Homem,Inglaterra,2018,3,HQ,40,Quadrinhos na Cia,físico
Hilda e o gigante,Hilda and the giant,Luke Pearson,,Homem,Inglaterra,2018,3,HQ,56,Quadrinhos na Cia,físico
Aâma #1,Aâma #1,Frederik Peeters,,Homem,Suíça,2018,4,HQ,88,Nemo,online
O colecionador,The collector,John Fowles,,Homem,Inglaterra,2018,5,Livro,234,Abril Cultural,físico
Monster #1,Monster #1,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,226,Panini,online
Monster #2,Monster #2,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,218,Panini,online
Monster #3,Monster #3,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #4,Monster #4,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #5,Monster #5,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,226,Panini,online
Monster #6,Monster #6,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,200,Panini,online
Monster #7,Monster #7,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,218,Panini,online
Monster #8,Monster #8,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #9,Monster #9,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #10,Monster #10,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #11,Monster #11,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #12,Monster #12,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #13,Monster #13,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,218,Panini,online
Monster #14,Monster #14,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #15,Monster #15,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,210,Panini,online
Monster #16,Monster #16,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,234,Panini,online
Monster #17,Monster #17,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,226,Panini,online
Monster #18,Monster #18,Naoki Urasawa,,Homem,Japão,2018,5,Mangá,258,Panini,online
O último adeus,The last time we say goodbye,Cynthia Hand,,Mulher,EUA,2018,4,Livro,362,Darkside,físico
Drácula,Dracula,Bram Stoker,,Homem,Inglaterra,2018,"3,5",Livro,448,Nova Fronteira,físico
Frankenstein,Frankenstein,Mary Shelley,,Mulher,Inglaterra,2018,4,Livro,240,Nova Fronteira,físico
Sweeney Todd,Sweeney Todd,Thomas Peckett Prest,,Homem,Inglaterra,2018,4,Livro,320,Wish,físico
Misery,Misery,Stephen King,,Homem,EUA,2018,4,Livro,326,Suma,físico
A metamorfose,Die Verwandlung,Franz Kafka,,Homem,República Tchéquia,2018,"3,5",Livro,80,Itatiaia,físico
Encarcerados,Lockdown,Alexander Gordon Smith,,Homem,EUA,2018,"3,5",Livro,294,Benvirá,ebook
Quarto de despejo,Quarto de despejo,Carolina Maria de Jesus,-,Mulher,Brasil,2019,5,Livro,184,Edibolso,físico
Solitária,Solitary,Alexander Gordon Smith,,Homem,EUA,2019,3,Livro,264,Benvirá,ebook
Crianças Lobo,Ookami Kodomo no Ame to Yuki ,Mamoru Hosada,,Homem,Japão,2019,4,Mangá,528,Yen Press,online
Garota Interrompida,"Girl, Interrupted",Susana Kaysen,,Mulher,EUA,2019,3,Livro,189,Única,ebook
Uzumaki #1,Uzimaki #1,Junji Ito,,Homem,Japão,2019,"3,5",Mangá,205,Conrad,online
Uzumaki #2,Uzimaki #2,Junji Ito,,Homem,Japão,2019,"3,5",Mangá,203,Conrad,online
Uzumaki #3,Uzimaki #3,Junji Ito,,Homem,Japão,2019,4,Mangá,252,Conrad,online
Garotos do reservatório,Garotos do reservatório,Celio Cerace; Fábio Cobacio,-,Homem,Brasil,2019,3,HQ,208,Mino,físico
De noite amanheço,De noite amanheço,Michel Ramalho,-,Homem,Brasil,2019,3,HQ,56,Independente,físico
Voragem,Manji,Jun'ichirõ Tanizaki,,Homem,Japão,2019,"3,5",Livro,246,TAG,físico
Fahrenheit 451,Fahrenheit 451,Ray Bradbury,,Homem,EUA,2019,3,Livro,215,Biblioteca Azul,físico
Becos da memória,Becos da Memória,Conceição Evaristo,-,Mulher,Brasil,2019,5,Livro,200,Pallas,físico
Dora,Dora,Bianca Pinheiro,-,Mulher,Brasil,2019,"3,5",HQ,124,Mino,físico
Coração Satânico,Falling Angel,William Hjortsberg,,Homem,EUA,2019,"3,5",Livro,320,Darkside,ebook
Ghost in the shell,Ghost in the shell,Masamune Shirow,,Homem,Japão,2019,3,Mangá,352,JBC,online
Stephen King - A biografia,Haunted heart: The life and times of Stephen King,Lisa Rogak,,Mulher,EUA,2019,5,Livro,320,Darkside,físico
O vendedor de armas,The gun seller,Hugh Laurie,,Homem,EUA,2019,3,Livro,288,Planeta,físico
Quanto você a viu pela última vez,When you see her last?,Lemony Snicket,,Homem,EUA,2019,4,Livro,268,Seguinte,físico
O despertar de Cthulhu,O despertar de Cthulhu,Raphael Fernandes; et. al,-,Homem,Brasil,2019,4,HQ,168,Draco,físico
Sentença de morte,Death Sentence,Alexander Gordon Smith,,Homem,EUA,2019,4,Livro,296,Benvirá,ebook
Depois daquela viagem,Depois daquela viagem,Valéria Polizzi,-,Mulher,Brasil,2019,4,Livro,279,Ática,físico
Olhos d'água,Olhos d'água,Conceição Evaristo,-,Mulher,Brasil,2019,5,Livro,116,Pallas,físico
Confissões do crematório,Smoke gets in your eyes,Caitlin Doughty,,Mulher,EUA,2019,5,Livro,260,Darkside,físico
Pluto #1,Pluto #1,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,200,Panini,online
Pluto #2,Pluto #2,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,208,Panini,online
Pluto #3,Pluto #3,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,200,Panini,online
Pluto #4,Pluto #4,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,200,Panini,online
Pluto #5,Pluto #5,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,200,Panini,online
Pluto #6,Pluto #6,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,200,Panini,online
Pluto #7,Pluto #7,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,200,Panini,online
Pluto #8,Pluto #8,Naoki Urasawa,,Homem,Japão,2019,5,Mangá,258,Panini,online
Coração de Tinta,Tintenherz,Cornelia Funke,,Mulher,Alemanha,2019,4,Livro,456,Seguinte,físico
Vidas Imperfeitas #1,Vidas Imperfeitas #1,Mary Cagnin,-,Mulher,Brasil,2019,"3,5",HQ,36,HQM,físico
Vidas Imperfeitas #2,Vidas Imperfeitas #2,Mary Cagnin,-,Mulher,Brasil,2019,"3,5",HQ,40,HQM,físico
Vidas Imperfeitas #3,Vidas Imperfeitas #3,Mary Cagnin,-,Mulher,Brasil,2019,4,HQ,51,HQM,físico
Vírus Tropical,Virus Tropical,Power Paola,,Mulher,Colômbia,2019,3,HQ,160,Nemo,físico
Um trabalho sujo,A dirty job,Christopher Moore,,Homem,EUA,2019,4,Livro,448,Bertrand,físico
Você não deveria estar na escola,Shouldn't you be in school?,Lemony Snicket,,Homem,EUA,2019,4,Livro,312,Seguinte,físico
Demônios da Goetia,Demônios da Goetia,Diversos autores,-,Homem,Brasil,2019,4,HQ,168,Draco,físico
Por que essa noite é diferente das outras?,Why is this night different from all other nights?,Lemony Snicket,,Homem,EUA,2019,4,Livro,288,Seguinte,físico
Morte em pleno verão,Death in midsummer and other stories,Yukio Mishima,,Homem,Japão,2019,4,Livro,190,Rocco,físico
As meninas,As meninas,Lygia Fagundes Telles,-,Mulher,Brasil,2019,3,Livro,320,Folha de São Paulo,físico
O mestre e Margarida,Мастер и Маргарита,Mikhail Bulgákov,,Homem,Rússia,2019,5,Livro,456,Alfaguara,físico
Neon Genesis Evangelion #1,Neon Geneses Evangelion #1,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #2,Neon Geneses Evangelion #2,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #3,Neon Geneses Evangelion #3,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #4,Neon Geneses Evangelion #4,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #5,Neon Geneses Evangelion #5,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #6,Neon Geneses Evangelion #6,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #7,Neon Geneses Evangelion #7,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #8,Neon Geneses Evangelion #8,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #9,Neon Geneses Evangelion #9,Yoshiyuki Sadamoto,,Homem,Japão,2019,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #10,Neon Geneses Evangelion #10,Yoshiyuki Sadamoto,,Homem,Japão,2020,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #11,Neon Geneses Evangelion #11,Yoshiyuki Sadamoto,,Homem,Japão,2020,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #12,Neon Geneses Evangelion #12,Yoshiyuki Sadamoto,,Homem,Japão,2020,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #13,Neon Geneses Evangelion #13,Yoshiyuki Sadamoto,,Homem,Japão,2020,4,Mangá,100,Conrad,online
Neon Genesis Evangelion #14,Neon Geneses Evangelion #14,Yoshiyuki Sadamoto,,Homem,Japão,2020,4,Mangá,100,Conrad,online
Uma pequena casa de chá em Cabul,A cup of friendship,Deborah Rodriguez,,Mulher,EUA,2020,3,Livro,304,Leya,físico
Minha vida (não) é uma comédia romântica,Minha vida (não) é uma comédia romântica,Lola Salgado,-,Mulher,Brasil,2020,3,Livro,349,Amazon,ebook
Amigas para sempre,Firefly Lane,Kristin Hannah,,Mulher,EUA,2020,4,Livro,446,Arqueiro,ebook
Por toda a eternidade,Fly Away,Kristin Hannah,,Mulher,EUA,2020,4,Livro,400,Novo Conceito,físico
O perfuraneve,Le Transperceneige : Intégrale,Jacques Lob; Benjamin Legrand; Jean-Marc Rochett,,Homem,França,2020,4,HQ,280,Apelh,físico
O vilarejo,O vilarejo,Raphael Montes,-,Homem,Brasil,2020,3,Livro,109,Suma,ebook
Joyland,Joyland,Stephen King,,Homem,EUA,2020,4,Livro,240,Suma,ebook
Saga vol.01,Saga vol.01,Brian K. Vaughan; Fiona Staples,,Ambos,EUA,2020,3,HQ,168,Devir,online
Saga vol.02,Saga vol.02,Brian K. Vaughan; Fiona Staples,,Ambos,EUA,2020,3,HQ,152,Devir,online
Batman: O cavaleiro das Trevas,Batman: The dark knight,Frank Miller,,Homem,EUA,2020,4,HQ,516,Panini,físico
Barrier,Barrier,Marcos Martin; Brian K. Vaughan,,Homem,EUA,2020,4,HQ,186,Image,online
Mindhunter,Mindhunter,John Douglas; Mark Olshaker,,Homem,EUA,2020,4,Livro,384,Intrínseca,ebook
Carmilla,Carmilla,Joseph Thomas Sheridan Le Fanu,,Homem,Irlanda,2020,5,Livro,88,KZK,ebook
Sempre vivemos no castelo,We have always in the Castle,Shirley Jackson,,Mulher,EUA,2020,3,Livro,200,Suma,ebook
O rei amarelo,O rei amarelo,Pedro Pedrada; et al.,-,Homem,Brasil,2020,3,HQ,164,Draco,físico
Quando a noite fecha os olhos,Quando a noite fecha os olhos,Mário Cau; André Diniz,-,Homem,Brasil,2020,4,HQ,72,Zarabatana,físico
Presos que menstruam,Presos que menstruam,Nana Queiroz,-,Mulher,Brasil,2020,5,Livro,294,Record,ebook
Morphine,Morphine,Mário Cau,-,Homem,Brasil,2020,3,HQ,112,Independente,físico
Aâma #2,Aâma #2,Frederik Peeters,,Homem,Suíça,2020,4,HQ,88,Nemo,online
Aâma #3,Aâma #3,Frederik Peeters,,Homem,Suíça,2020,4,HQ,88,Nemo,online
Sejamos todas feministas,We should all be feminist,Chimamanda Ngozi Adichie,,Mulher,Nigéria,2020,5,Livro,63,Cia das Letras,ebook
Sangue de Tinta,Tintenblut,Cornelia Funke,,Mulher,Alemanha,2020,4,Livro,560,Cia das Letras,físico
Morte de Tinta,Tintentod,Cornelia Funke,,Mulher,Alemanha,2020,4,Livro,576,Cia das Letras,físico
Memórias Póstumas de Brás Cubas,Memórias Póstumas de Brás Cubas,Machado de Assis,-,Homem,Brasil,2020,4,Livro,368,Penguin,ebook
No meu lugar,No meu lugar,Jorge Castro,-,Homem,Brasil,2020,4,Livro,187,Independente,ebook
Entre estantes,Entre estantes,Olívia Pilar,-,Mulher,Brasil,2020,4,Livro,15,Amazon,ebook
A assombração da casa da colina,The haunting of hill house,Shirley Jackson,,Mulher,EUA,2020,4,Livro,240,Suma,ebook
O enigma de outro mundo,Frozen Hell,John W. Campbell Jr.,,Homem,EUA,2020,5,Livro,164,Diário Macabro,físico
Dom Casmurro,Dom Casmurro,Machado de Assis,,Homem,Brasil,2020,"3,5",Livro,250,Texto para reflexão,ebook
A flecha de Deus,Arrow of god,Chinua Achebe,,Homem,Nigéria,2020,5,Livro,342,Cia das Letras,físico
100 poemas,100 poemas,Carlos Drummond de Andrade,-,Homem,Brasil,2020,3,Livro,410,Editora UFMG,físico
Guia definitivo do Mochileiro das Galáxias,The ultimate hitchhicker's guide to the galaxy,Douglas Adams,,Homem,EUA,2020,5,Livro,672,Arqueiro,físico
Persépolis,Persepolis,Marjane Satrapi,,Mulher,Irã,2020,5,HQ,352,Cia das Letras,físico
O médico e o monstro,The strange case of Dr. Jekyll and Mr. Hayde,Robert Louis Stevenson,,Homem,Escócia,2020,3,Livro,80,Nova Fronteira,físico
Will & Will,Will & Will,David Levithan; John Green,,Homem,EUA,2020,"2,5",Livro,352,Record,físico
Úrsula e outros contos,Úrsula e outros contos,Maria Firmina dos Reis,-,Mulher,Brasil,2020,5,Livro,290,Edição Câmara,ebook
Dia de domingo,Dia de domingo,Olívia Pilar,-,Mulher,Brasil,2020,5,Livro,24,Amazon,ebook
A batalha do apocalipse,A batalha do apocalipse,Eduardo Spohr,-,Homem,Brasil,2020,5,Livro,586,Verus,físico
"Prenda-me, Por favor!",Kaffe med ran,Catharina Ingelman-Sundberg,,Mulher,Suécia,2020,4,Livro,336,Gutenberg,físico
Filhos de Sangue e Osso,Children of blood and bone,Tomi Adeyemi,,Mulher,EUA,2020,5,Livro,550,Rocco,ebook
A morte e a morte de Quincas Berro D'água,A morte e a morte de Quincas Berro D'água,Jorge Amado,-,Homem,Brasil,2020,5,Livro,118,Cia das Letras,físico
O amannhã não está a venda,O amannhã não está a venda,Ailton Krenak,-,Homem,Brasil,2020,5,Livro,24,Cia das Letras,ebook
Oyasumi Punpun #1,Oyasumi Punpun #1,Inio Asano,,Homem,Japão,2020,5,Mangá,240,JBC,online
Beabá,Beabá,Daniel Batista,-,Homem,Brasil,2020,3,HQ,93,Independente,físico
Silenciosa Algazarra,Silenciosa Algazarra,Ana Maria Machado,-,Mulher,Brasil,2020,5,Livro,290,Cia das Letras,físico
A mulher entre nós ,The wife between us,Greer Hendricks; Sarah Pekkanen,,Mulher,EUA,2020,2,Livro,352,Paralela,ebook
A bússula de ouro,Northern Lights,Philip Pullman,,Homem,EUA,2020,4,Livro,365,Objetiva,ebook
A paciente silenciosa,The silent pacient,Alex Michaelides,,Homem,Inglaterra,2020,4,Livro,350,Record,ebook
Rachaduras,Rachaduras,Natalia Timerman,-,Mulher,Brasil,2020,2,Livro,74,Quelônio,ebook
Jóias,Jewels,Danielle Steel,,Mulher,EUA,2020,3,Livro,485,Círculo do Livro,físico
Um defeito de cor,Um defeito de cor,Ana Maria Gonçalves,,Mulher,Brasil,2020,5,Livro,952,Record,físico
Vagabond #10,Bagabondo #10,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,224,Panini,físico
Vagabond #11,Bagabondo #11,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,226,Panini,físico
Vagabond #12,Bagabondo #12,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,224,Panini,físico
Vagabond #13,Bagabondo #13,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,224,Panini,físico
Vagabond #14,Bagabondo #14,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,210,Panini,físico
Vagabond #15,Bagabondo #15,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,208,Panini,físico
Vagabond #16,Bagabondo #16,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,228,Panini,físico
Vagabond #17,Bagabondo #17,Takehiko Inoue,,Homem,Japão,2020,5,Mangá,220,Panini,físico
"Nada digo de ti, que em ti não vejas","Nada digo de ti, que em ti não vejas",Eliane Alves Cruz,-,Mulher,Brasil,2021,5,Livro,199,Pallas,físico
Terra das Mulheres,Herland,Charlotte Perkins Guilman,,Mulher,EUA,2021,3,Livro,253,Rosa dos Tempos,físico
Vitas Sexualis,Wita Sekusuarisu,Ogai Mori,,Homem,Japão,2021,4,Livro,163,Liberdade,físico
Coração de Aço,Steelheart,Brandon Sanderson,,Homem,EUA,2021,4,Livro,376,Aleph,físico
As relações perigosas,Les liaisons dangereuses,Choderlos de Lacos,,Homem,França,2021,3,Livro,480,Penguin,ebook
Eu sei porque os pássaros cantam na gaiola,I know why the caged bird sings ,Maya Angelou,,Mulher,EUA,2021,5,Livro,335,Astral,físico
Mamãe & Eu & Mamãe,Mom & Me & Mom,Maya Angelou,,Mulher,EUA,2021,5,Livro,175,Rosa dos Tempos,físico
Jóias de família,Jóias de família,Zulmira Ribeiro Tavares ,-,Mulher,Brasil,2021,2,Livro,81,Cia das Letras,físico
Quero andar de mãos dadas,Quero andar de mãos dadas,Victor Lopes,-,Homem,Brasil,2021,4,Livro,300,Amazon,ebook
A máquina do tempo,The time machine,H. G. Wells,William Lagos,Homem,Inglaterra,2021,"2,5",Livro,98,LP&M Pocket,ebook
